DEV_KEY;en;tr;en_one;en_other;tr_one;tr_other
swipeCard.contentUnavailableSubtitle;This %@ cannot be displayed. It may be corrupted or in an unsupported format.;Bu %@ görüntülenemiyor. Bozuk veya desteklenmeyen bir formatta olabilir.;;;;
swipeCard.contentUnavailableTitle;%@ Unavailable;%@ Kullanılamıyor;;;;
swipeCard.enableInternetAccess;Enable Internet Access;İnternet Erişimini Etkinleştir;;;;
swipeCard.iCloudNotDownloaded;iCloud %@ Not Downloaded;iCloud %@ İndirilmedi;;;;
swipeCard.iCloudSubtitle;This %@ is stored in iCloud. Enable internet access in Settings to download it.;Bu %@ iCloud'da saklanıyor. İndirmek için Ayarlar'dan internet erişimini etkinleştirin.;;;;
swipeCard.lowQuality;Low Quality;Düşük Kalite;;;;
tab.home;Home;Ana Sayfa;;;;
tab.photos;Photos;Fotoğraflar;;;;
tab.settings;Settings;Ayarlar;;;;
tab.videos;Videos;Videolar;;;;
timeAgo.justNow;Just now;Az önce;;;;
timeAgo.daysAgo;;;%lld day ago;%lld days ago;%lld gün önce;%lld gün önce
timeAgo.hoursAgo;;;%lld hour ago;%lld hours ago;%lld saat önce;%lld saat önce
timeAgo.minutesAgo;;;%lld minute ago;%lld minutes ago;%lld dakika önce;%lld dakika önce
timeAgo.sevenPlusDays;7+ days ago;7+ gün önce;;;;
monthCell.allCaughtUp;All caught up!;Hepsi tamamlandı!;;;;
monthCell.photosToReview;;;%lld photo to review;%lld photos to review;%lld fotoğraf incelenecek;%lld fotoğraf incelenecek
monthCell.videosToReview;;;%lld video to review;%lld videos to review;%lld video incelenecek;%lld video incelenecek
undoAction.keptPhoto;Kept;Saklandı;;;;
undoAction.markedForDeletion;Marked for Deletion;Silinmek Üzere İşaretlendi;;;;
undoAction.willBeStored;Will Be Stored;Depolanacak;;;;
undoHistory.delete;Delete;Sil;;;;
undoHistory.keep;Keep;Tut;;;;
undoHistory.selectMultiple;Select Multiple;Çoklu Seçim;;;;
undoHistory.store;Store;Depola;;;;
undoHistory.undo;Undo;Geri Al;;;;
undoHistory.undoAllMessage;This will undo all actions in the current session. Photos will be removed from the delete bin and store list.;Bu, geçerli oturumdaki tüm işlemleri geri alacaktır. Fotoğraflar silme kutusundan ve depolama listesinden kaldırılacaktır.;;;;
undoHistory.undoAllTitle;Undo All;Tümünü Geri Al;;;;
undoHistory.itemCount;;;%lld item  •  ;%lld items  •  ;%lld öge  •  ;%lld öge  •  
widget.analyzed;Analyzed;Analiz Edildi;;;;
widget.analysisComplete;Analysis complete!;Analiz tamamlandı!;;;;
widget.scanningPhotos;Scanning photos...;Fotoğraflar taranıyor...;;;;
widget.scanningVideos;Scanning videos...;Videolar taranıyor...;;;;
widget.storage;Storage;Depolama;;;;
widget.storageAnalysis;Storage Analysis;Depolama Analizi;;;;
